Galaxy,Halpha Region,RA,DEC,F_K_s,F_K_s_upper_limit,F_K_s_err,D,D_err,M_K_s,M_K_s_err,log(L_4.5),log(L_4.5)_err,log(M_star),log(M_star)_err,M_B,M_B_err,M_4.5,M_4.5_err,B-V,B-V_err,t_2,t_2_err,t_3,t_3_err,O+/H+,O+/H+_err,O++/H+,O++/H+_err,O/H,O/H_err,12 + log(O/H),12 + log(O/H)_err,N+/H+,N+/H+_err,log(N/O),log(N/O)_err,N/H,N/H_err,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
UGC 521,A,192.00625,12.023888888888887,5.43,,2.88,10.9,,-17.46,0.52,8.5,0.61,7.96,0.61,-15.16,0.5,-17.93,0.61,0.34,0.05,14200.0,900.0,16500.0,1100.0,1.59,0.32,3.05,0.42,4.64,0.53,7.67,0.05,0.29,0.06,-1.61,0.07,1.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 695,E,254.14999999999995,1.0644444444444443,,8.45,,10.2,,-17.8,0.52,8.57,0.61,8.08,0.61,-15.13,0.5,-18.11,0.61,0.45,0.06,14000.0,1900.0,15800.0,2200.0,3.45,1.48,1.5,0.45,4.95,1.55,7.69,0.12,1.07,0.29,-1.49,0.04,1.61,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 404,,260.43749999999994,35.71805555555556,676.0,,340.0,3.05,0.04,-19.94,0.14,9.42,0.35,9.2,0.35,-16.39,0.07,-20.23,0.35,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1056,A,332.975,16.689166666666665,29.1,,4.0,10.32,,-19.17,0.5,8.72,0.61,8.62,0.61,-15.09,0.52,-18.47,0.61,0.57,0.07,13000.0,2500.0,13500.0,2600.0,4.5,2.89,3.26,1.56,7.75,3.29,7.89,0.15,1.48,0.59,-1.48,0.05,2.57,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1056,B,332.975,16.689166666666665,29.1,,4.0,10.32,,-19.17,0.5,8.72,0.61,8.62,0.61,-15.09,0.52,-18.47,0.61,0.57,0.07,12600.0,900.0,12700.0,900.0,4.23,1.06,5.43,1.04,9.66,1.49,7.98,0.06,1.34,0.21,-1.49,0.03,3.16,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 1176,A,15.618749999999862,15.905555555555557,,26.6,,9.04,1.66,-18.78,0.92,8.78,0.98,8.48,0.98,-15.48,0.93,-18.63,0.98,0.31,0.1,12600.0,500.0,12800.0,500.0,3.4,0.47,5.91,0.59,9.31,0.75,7.97,0.03,1.29,0.11,-1.4,0.02,3.73,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 784,B,94.80624999999988,28.835833333333333,72.2,,9.9,5.19,0.12,-18.66,0.2,9.05,0.36,8.48,0.36,-16.5,0.12,-19.3,0.36,0.4,0.04,12900.0,600.0,13400.0,700.0,3.57,0.59,4.7,0.58,8.27,0.83,7.92,0.04,0.78,0.08,-1.63,0.02,1.94,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 784,A,94.80624999999988,28.835833333333333,72.2,,9.9,5.19,0.12,-18.66,0.2,9.05,0.36,8.48,0.36,-16.5,0.12,-19.3,0.36,0.4,0.04,12500.0,500.0,12400.0,500.0,3.41,0.48,7.2,0.78,10.61,0.91,8.03,0.04,1.24,0.11,-1.44,0.02,3.87,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 2716,A,45.50624999999975,17.754166666666666,22.2,,4.7,6.2,,-17.78,0.51,8.55,0.61,8.13,0.61,-15.31,0.5,-18.04,0.61,0.31,0.06,12800.0,500.0,13100.0,500.0,2.96,0.42,6.41,0.7,9.37,0.82,7.97,0.04,0.99,0.09,-1.47,0.02,3.14,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKH 37,,89.08749999999954,80.12388888888889,6.43,,2.81,3.39,0.12,-15.11,0.2,7.34,0.39,7.01,0.39,-11.98,0.2,-15.01,0.39,0.54,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2537,A,49.6624999999998,45.99166666666667,160.0,,10.0,6.88,,-20.36,0.51,9.47,0.61,9.1,0.61,-17.14,0.5,-20.34,0.61,0.72,,10900.0,600.0,9700.0,500.0,8.85,1.94,8.56,1.6,17.4,2.5,8.24,0.06,7.4,0.99,-1.07,0.02,14.8,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
