Galaxy,RA,DEC,F_K_s,F_K_s_upper_limit,F_K_s_err,D,D_err,M_K_s,M_K_s_err,log(L_4.5),log(L_4.5)_err,log(M_star),log(M_star)_err,M_B,M_B_err,M_4.5,M_4.5_err,B-V,B-V_err
UGC 521,192.00624999999997,12.023888888888889,5.43,,2.88,10.9,,-17.46,0.52,8.5,0.61,7.96,0.61,-15.16,0.5,-17.93,0.61,0.34,0.05
UGC 695,254.14999999999995,1.0644444444444445,,8.45,,10.2,,-17.8,0.52,8.57,0.61,8.08,0.61,-15.13,0.5,-18.11,0.61,0.45,0.06
NGC 404,260.43749999999994,35.71805555555556,676.0,,340.0,3.05,0.04,-19.94,0.14,9.42,0.35,9.2,0.35,-16.39,0.07,-20.23,0.35,0.83,
UGC 1056,332.97499999999997,16.689166666666665,29.1,,4.0,10.32,,-19.17,0.5,8.72,0.61,8.62,0.61,-15.09,0.52,-18.47,0.61,0.57,0.07
UGC 1176,15.618749999999862,15.905555555555557,,26.6,,9.04,1.66,-18.78,0.92,8.78,0.98,8.48,0.98,-15.48,0.93,-18.63,0.98,0.31,0.1
NGC 784,94.80624999999988,28.835833333333333,72.2,,9.9,5.19,0.12,-18.66,0.2,9.05,0.36,8.48,0.36,-16.5,0.12,-19.3,0.36,0.4,0.04
UGC 2716,45.506249999999746,17.754166666666666,22.2,,4.7,6.2,,-17.78,0.51,8.55,0.61,8.13,0.61,-15.31,0.5,-18.04,0.61,0.31,0.06
KKH 37,89.08749999999954,80.12388888888889,6.43,,2.81,3.39,0.12,-15.11,0.2,7.34,0.39,7.01,0.39,-11.98,0.2,-15.01,0.39,0.54,0.06
NGC 2537,49.6624999999998,45.99166666666667,160.0,,10.0,6.88,,-20.36,0.51,9.47,0.61,9.1,0.61,-17.14,0.5,-20.34,0.61,0.72,
UGC 4278,52.43124999999963,45.743611111111115,35.8,,5.1,7.6,,-18.73,0.52,9.03,0.6,8.5,0.6,-16.36,0.5,-19.24,0.6,0.35,
NGC 2552,72.44999999999932,50.01027777777778,54.9,,8.1,7.7,,-19.21,0.52,9.2,0.61,8.69,0.61,-16.72,0.5,-19.67,0.61,0.43,0.04
UGC 4393,97.77499999999931,45.967777777777776,,,,16.8,2.9,,,9.99,0.86,9.43,0.86,-17.67,0.85,-21.65,0.86,0.6,
CGCG 35-007,355.30624999999935,6.4255555555555555,13.5,,3.4,5.2,,-16.83,0.51,7.97,0.61,7.69,0.61,-13.38,0.51,-16.58,0.61,0.54,0.1
UGC 5139,16.874999999999144,71.18472222222222,16.0,,7.3,3.9,0.05,-16.41,0.2,8.04,0.51,7.39,0.51,-14.42,0.12,-16.76,0.51,0.36,0.07
IC 559,32.73749999999921,9.615,23.7,,4.1,4.9,,-17.34,0.51,8.21,0.61,7.86,0.61,-14.12,0.5,-17.19,0.61,0.48,
UGC 5272,53.89999999999957,31.48777777777778,15.8,,4.2,7.11,0.77,-17.7,0.55,8.49,0.64,8.0,0.64,-14.98,0.55,-17.9,0.64,0.37,
UGC 5340,77.86249999999951,28.825555555555557,,9.36,,12.1,0.7,-18.28,0.29,8.53,0.44,7.97,0.45,-15.83,0.55,-17.99,0.44,0.13,0.08
UGC 5423,110.66249999999953,70.36444444444444,13.6,,2.7,5.27,0.4,-16.89,0.53,8.09,0.85,7.77,0.85,-13.77,0.38,-16.88,0.85,0.48,0.04
UGC 5672,196.29999999999922,22.57111111111111,25.3,,5.3,6.25,,-17.93,0.51,8.56,0.61,8.38,0.61,-14.73,0.52,-18.06,0.61,0.64,0.05
UGC 5692,204.78749999999917,70.61749999999999,66.4,,8.4,3.8,0.05,-17.89,0.11,8.48,0.35,8.16,0.35,-14.68,0.08,-17.88,0.35,0.68,0.04
UGC 5797,237.8249999999994,1.7180555555555557,11.7,,4.2,6.8,,-17.29,0.51,8.36,0.61,7.75,0.61,-14.56,0.51,-17.57,0.61,0.46,0.08
UGC 5923,274.2249999999991,6.9175,21.8,,2.5,7.2,,-18.06,0.51,8.59,0.61,8.29,0.61,-14.7,0.5,-18.16,0.61,0.66,0.02
NGC 3738,89.28749999999935,54.52472222222222,104.0,,8.0,4.9,0.6,-18.93,0.63,9.06,0.7,8.5,0.7,-16.51,0.61,-19.32,0.7,0.39,
NGC 3741,90.36249999999923,45.28638888888889,11.2,,4.5,3.24,0.13,-15.62,0.22,7.61,0.4,7.05,0.4,-13.18,0.22,-15.69,0.4,0.31,0.07
UGC 6782,138.5624999999993,23.838055555555556,,8.88,,13.7,,-18.49,0.51,8.71,0.61,8.29,0.61,-15.54,0.51,-18.45,0.61,0.53,
UGC 6817,145.88124999999945,38.880833333333335,21.5,,6.0,2.59,0.17,-15.84,0.34,7.6,0.48,6.97,0.48,-13.7,0.34,-15.68,0.48,0.3,
UGC 6900,163.712499999999,31.519444444444442,18.1,,5.2,7.5,,-17.95,0.51,8.56,0.61,8.19,0.61,-14.62,0.53,-18.06,0.61,0.64,
NGC 4163,225.57499999999902,36.169444444444444,32.6,,5.8,2.88,0.04,-16.52,0.14,8.06,0.35,7.61,0.35,-13.65,0.12,-16.81,0.35,0.44,
CGCG 269-049,239.19999999999942,52.38805555555555,3.31,,1.99,1.6,0.04,-12.76,0.18,6.58,0.36,5.9,0.36,-10.83,0.14,-13.12,0.36,0.28,0.06
UGC 7577,283.8062499999989,43.495555555555555,41.9,,6.9,2.58,0.07,-16.55,0.18,8.05,0.36,7.5,0.36,-14.12,0.14,-16.8,0.36,0.48,
NGC 4449,285.6312499999994,44.091944444444444,893.0,,46.0,3.82,0.26,-20.73,0.36,9.74,0.48,9.25,0.48,-18.02,0.34,-21.02,0.48,0.37,0.04
UGC 7599,286.7812499999992,37.23361111111111,4.01,,2.06,6.9,,-16.14,0.52,7.91,0.61,7.19,0.61,-14.35,0.51,-16.45,0.61,0.4,
UGC 7605,287.4062499999995,35.709666666666664,6.09,,2.45,4.43,0.57,-15.63,0.66,7.75,0.73,7.12,0.73,-13.49,0.66,-16.05,0.73,0.29,0.04
UGC 7639,292.08749999999907,47.53111111111111,26.4,,5.5,7.1,0.5,-18.25,0.37,8.67,0.49,8.25,0.49,-15.55,0.37,-18.33,0.49,,
NGC 4656,344.85624999999925,32.168055555555554,135.0,,14.0,8.6,,-20.44,0.53,9.79,0.61,9.04,0.61,-18.75,0.51,-21.15,0.61,0.42,
UGC 8201,69.03124999999902,67.70777777777778,37.3,,6.3,4.57,0.4,-17.67,0.45,8.36,0.6,7.82,0.6,-15.17,0.44,-17.56,0.6,0.24,0.04
UGC 8245,77.19999999999926,78.93722222222223,20.0,,4.3,3.64,,-16.5,0.51,7.98,0.61,7.53,0.61,-13.67,0.5,-16.61,0.61,0.47,0.04
UGC 8508,160.25624999999917,54.91111111111111,13.9,,4.2,2.58,0.03,-15.36,0.13,7.59,0.35,7.0,0.35,-13.03,0.07,-15.64,0.35,0.37,0.03
UGC 8638,192.4499999999993,24.776666666666667,15.2,,4.6,4.27,0.34,-16.55,0.41,8.04,0.53,7.57,0.53,-13.77,0.4,-16.77,0.53,0.47,0.04
UGC 8837,250.35624999999908,53.90083333333333,26.5,,7.1,8.3,,-18.59,0.52,8.92,0.61,8.41,0.61,-15.92,0.51,-18.97,0.61,0.42,
NGC 5477,290.81874999999934,54.46083333333333,22.0,,4.5,7.7,,-18.23,0.51,8.56,0.61,8.15,0.61,-15.22,0.51,-18.08,0.61,0.34,
UGC 9405,42.77499999999946,57.25527777777778,12.9,,5.0,8.02,0.74,-17.74,0.47,8.48,0.58,7.97,0.58,-14.97,0.47,-17.88,0.58,0.68,
UGC 10818,298.87499999999886,61.31305555555555,,,,56.0,,,,9.72,0.51,9.45,0.51,-18.59,0.5,-20.96,0.51,,
KKH 98,305.8937499999984,38.71666666666667,7.56,,3.09,2.45,0.04,-14.58,0.11,7.05,0.36,6.72,0.36,-11.1,0.16,-14.29,0.36,0.2,0.13
