Galaxy,Halpha Region,t_2,t_2_err,t_3,t_3_err,O+/H+,O+/H+_err,O++/H+,O++/H+_err,O/H,O/H_err,12 + log(O/H),12 + log(O/H)_err,N+/H+,N+/H+_err,log(N/O),log(N/O)_err,N/H,N/H_err,log(M_star),log(M_star)_err
CGCG 269-049,A,14400.0,500.0,17100.0,500.0,1.0,0.11,1.95,0.11,2.96,0.16,7.47,0.02,0.2,0.02,-1.57,0.03,0.8,0.08,5.9,0.36
IC 559,A,12000.0,1400.0,11500.0,1300.0,5.63,2.31,6.18,2.02,11.81,3.07,8.07,0.1,1.74,0.46,-1.47,0.05,3.97,1.13,7.86,0.61
NGC 2537,A,10900.0,600.0,9700.0,500.0,8.85,1.94,8.56,1.6,17.4,2.5,8.24,0.06,7.4,0.99,-1.07,0.02,14.8,2.25,9.1,0.61
NGC 2537,B,11800.0,900.0,11200.0,900.0,5.26,1.48,4.23,0.96,9.49,1.76,7.98,0.07,5.13,0.88,-1.0,0.02,9.41,1.82,9.1,0.61
NGC 2552,A,11400.0,500.0,10400.0,500.0,5.27,0.88,8.93,1.23,14.19,1.52,8.15,0.04,3.57,0.37,-1.16,0.02,9.68,1.1,8.69,0.61
NGC 3738,A,12100.0,900.0,11800.0,800.0,4.98,1.27,6.0,1.21,10.98,1.76,8.04,0.06,2.31,0.36,-1.33,0.02,5.14,0.86,8.5,0.7
NGC 3738,B,12500.0,1400.0,12500.0,1400.0,5.36,2.15,5.39,1.67,10.75,2.72,8.03,0.1,2.23,0.55,-1.37,0.03,4.57,1.21,8.5,0.7
NGC 3741,A,13700.0,500.0,15200.0,400.0,1.81,0.21,2.93,0.2,4.74,0.29,7.68,0.03,0.42,0.04,-1.61,0.03,1.15,0.1,7.05,0.4
NGC 4163,A,14800.0,2000.0,18200.0,2500.0,3.28,1.34,0.34,0.09,3.62,1.34,7.56,0.14,1.0,0.3,-1.49,0.06,1.17,0.47,7.61,0.35
NGC 4449,C,11500.0,900.0,10600.0,800.0,6.92,1.99,6.69,1.59,13.62,2.54,8.13,0.07,3.16,0.55,-1.33,0.02,6.3,1.22,9.25,0.48
NGC 4449,B,11300.0,600.0,10400.0,600.0,6.73,1.44,7.79,1.39,14.52,2.0,8.16,0.06,2.96,0.39,-1.36,0.02,6.3,0.91,9.25,0.48
NGC 4449,A,10800.0,500.0,9600.0,200.0,6.36,1.16,14.5,1.08,20.87,1.59,8.32,0.03,2.5,0.28,-1.39,0.02,8.5,0.73,9.25,0.48
NGC 4656,A,12600.0,700.0,12700.0,700.0,1.2,0.22,11.03,1.53,12.23,1.55,8.09,0.05,0.27,0.11,-1.66,0.14,2.66,1.1,9.04,0.61
NGC 5477,A,12800.0,500.0,13000.0,200.0,1.89,0.25,7.1,0.3,8.99,0.39,7.95,0.02,0.5,0.04,-1.56,0.02,2.45,0.14,8.15,0.61
NGC 784,B,12900.0,600.0,13400.0,700.0,3.57,0.59,4.7,0.58,8.27,0.83,7.92,0.04,0.78,0.08,-1.63,0.02,1.94,0.22,8.48,0.36
NGC 784,A,12500.0,500.0,12400.0,500.0,3.41,0.48,7.2,0.78,10.61,0.91,8.03,0.04,1.24,0.11,-1.44,0.02,3.87,0.36,8.48,0.36
UGC 1056,A,13000.0,2500.0,13500.0,2600.0,4.5,2.89,3.26,1.56,7.75,3.29,7.89,0.15,1.48,0.59,-1.48,0.05,2.57,1.14,8.62,0.61
UGC 1056,B,12600.0,900.0,12700.0,900.0,4.23,1.06,5.43,1.04,9.66,1.49,7.98,0.06,1.34,0.21,-1.49,0.03,3.16,0.52,8.62,0.61
UGC 1176,A,12600.0,500.0,12800.0,500.0,3.4,0.47,5.91,0.59,9.31,0.75,7.97,0.03,1.29,0.11,-1.4,0.02,3.73,0.34,8.48,0.98
UGC 2716,A,12800.0,500.0,13100.0,500.0,2.96,0.42,6.41,0.7,9.37,0.82,7.97,0.04,0.99,0.09,-1.47,0.02,3.14,0.31,8.13,0.61
