Table 4 
Ionic and Total Abundances


Galaxy	Halpha Region	t_2	t_3	O^+/H^+	O^++/H^+	O/H	12 + log(O/H)	N^+/H^+	log(N/O)	N/H	
		(K)	(K)	(x 10^5)	(x 10^5)	(x 10^5)	(dex)	(x 10^6)	(dex)	(x 10^6)	
UGC 521	A	14200 +or- 900	16500 +or- 1100	1.59 +or- 0.32	3.05 +or- 0.42	4.64 +or- 0.53	7.67 +or- 0.05	0.29 +or- 0.06	-1.61 +or- 0.07	1.15 +or- 0.25	
UGC 695	E	14000 +or- 1900	15800 +or- 2200	3.45 +or- 1.48	1.50 +or- 0.45	4.95 +or- 1.55	7.69 +or- 0.12	1.07 +or- 0.29	-1.49 +or- 0.04	1.61 +or- 0.53	
UGC 1056	A	13000 +or- 2500	13500 +or- 2600	4.50 +or- 2.89	3.26 +or- 1.56	7.75 +or- 3.29	7.89 +or- 0.15	1.48 +or- 0.59	-1.48 +or- 0.05	2.57 +or- 1.14	
UGC 1056	B	12600 +or- 900	12700 +or- 900	4.23 +or- 1.06	5.43 +or- 1.04	9.66 +or- 1.49	7.98 +or- 0.06	1.34 +or- 0.21	-1.49 +or- 0.03	3.16 +or- 0.52	
UGC 1176	A	12600 +or- 500	12800 +or- 500	3.40 +or- 0.47	5.91 +or- 0.59	9.31 +or- 0.75	7.97 +or- 0.03	1.29 +or- 0.11	-1.40 +or- 0.02	3.73 +or- 0.34	
NGC 784	B	12900 +or- 600	13400 +or- 700	3.57 +or- 0.59	4.70 +or- 0.58	8.27 +or- 0.83	7.92 +or- 0.04	0.78 +or- 0.08	-1.63 +or- 0.02	1.94 +or- 0.22	
NGC 784	A	12500 +or- 500	12400 +or- 500	3.41 +or- 0.48	7.20 +or- 0.78	10.61 +or- 0.91	8.03 +or- 0.04	1.24 +or- 0.11	-1.44 +or- 0.02	3.87 +or- 0.36	
UGC 2716	A	12800 +or- 500	13100 +or- 500	2.96 +or- 0.42	6.41 +or- 0.70	9.37 +or- 0.82	7.97 +or- 0.04	0.99 +or- 0.09	-1.47 +or- 0.02	3.14 +or- 0.31	
NGC 2537	A	10900 +or- 600	9700 +or- 500	8.85 +or- 1.94	8.56 +or- 1.60	17.4 +or- 2.5	8.24 +or- 0.06	7.40 +or- 0.99	-1.07 +or- 0.02	14.8 +or- 2.25	
NGC 2537	B	11800 +or- 900	11200 +or- 900	5.26 +or- 1.48	4.23 +or- 0.96	9.49 +or- 1.76	7.98 +or- 0.07	5.13 +or- 0.88	-1.00 +or- 0.02	9.41 +or- 1.82	
UGC 4278	B	13300 +or- 1000	14200 +or- 1000	2.53 +or- 0.61	2.32 +or- 0.41	4.85 +or- 0.73	7.69 +or- 0.06	0.57 +or- 0.09	-1.63 +or- 0.03	1.11 +or- 0.20	
UGC 4278	A	13500 +or- 600	14600 +or- 600	2.01 +or- 0.27	2.86 +or- 0.28	4.87 +or- 0.38	7.69 +or- 0.03	0.52 +or- 0.05	-1.58 +or- 0.03	1.27 +or- 0.13	
NGC 2552	A	11400 +or- 500	10400 +or- 500	5.27 +or- 0.88	8.93 +or- 1.23	14.19 +or- 1.52	8.15 +or- 0.04	3.57 +or- 0.37	-1.16 +or- 0.02	9.68 +or- 1.10	
UGC 4393	B	12100 +or- 1000	11700 +or- 1000	4.55 +or- 1.36	6.92 +or- 1.64	11.5 +or- 0.2	8.06 +or- 0.07	3.63 +or- 0.66	-1.09 +or- 0.02	9.39 +or- 1.82	
UGC 4393	C	12800 +or- 800	13100 +or- 800	5.80 +or- 1.22	3.92 +or- 0.63	9.72 +or- 1.37	7.99 +or- 0.06	3.25 +or- 0.42	-1.24 +or- 0.02	5.55 +or- 0.82	
UGC 5139	A	12800 +or- 800	13000 +or- 800	2.70 +or- 0.60	5.65 +or- 0.95	8.35 +or- 1.13	7.92 +or- 0.05	0.72 +or- 0.12	-1.56 +or- 0.05	2.30 +or- 0.41	
IC 559	A	12000 +or- 1400	11500 +or- 1300	5.63 +or- 2.31	6.18 +or- 2.02	11.81 +or- 3.07	8.07 +or- 0.10	1.74 +or- 0.46	-1.47 +or- 0.05	3.97 +or- 1.13	
UGC 5272	A	13300 +or- 500	14100 +or- 200	1.34 +or- 0.17	6.12 +or- 0.22	7.46 +or- 0.27	7.87 +or- 0.02	0.34 +or- 0.03	-1.59 +or- 0.02	1.92 +or- 0.12	
UGC 5340	A	15200 +or- 1200	19400 +or- 1500	0.47 +or- 0.11	1.12 +or- 0.16	1.59 +or- 0.19	7.20 +or- 0.05	0.09 +or- 0.02	-1.60 +or- 0.08	0.40 +or- 0.09	
UGC 5423	A	13700 +or- 500	15300 +or- 500	2.33 +or- 0.27	3.55 +or- 0.24	5.88 +or- 0.36	7.77 +or- 0.03	1.08 +or- 0.08	-1.32 +or- 0.02	2.82 +or- 0.21	
UGC 5423	B	13400 +or- 1100	14400 +or- 1200	2.17 +or- 0.59	4.37 +or- 0.87	6.54 +or- 1.05	7.82 +or- 0.06	0.79 +or- 0.16	-1.43 +or- 0.05	2.43 +or- 0.48	
UGC 5797	A	13200 +or- 1000	14000 +or- 1000	2.04 +or- 0.51	7.06 +or- 1.29	9.11 +or- 1.39	7.96 +or- 0.06	0.95 +or- 0.19	-1.35 +or- 0.06	4.11 +or- 0.84	
UGC 5923	A	14300 +or- 2500	16600 +or- 3000	4.04 +or- 2.22	2.08 +or- 0.78	6.12 +or- 2.35	7.79 +or- 0.14	1.97 +or- 0.67	-1.30 +or- 0.04	3.10 +or- 1.23	
NGC 3738	A	12100 +or- 900	11800 +or- 800	4.98 +or- 1.27	6.00 +or- 1.21	10.98 +or- 1.76	8.04 +or- 0.06	2.31 +or- 0.36	-1.33 +or- 0.02	5.14 +or- 0.86	
NGC 3738	B	12500 +or- 1400	12500 +or- 1400	5.36 +or- 2.15	5.39 +or- 1.67	10.75 +or- 2.72	8.03 +or- 0.10	2.23 +or- 0.55	-1.37 +or- 0.03	4.57 +or- 1.21	
NGC 3741	A	13700 +or- 500	15200 +or- 400	1.81 +or- 0.21	2.93 +or- 0.20	4.74 +or- 0.29	7.68 +or- 0.03	0.42 +or- 0.04	-1.61 +or- 0.03	1.15 +or- 0.10	
UGC 6817	A	14200 +or- 500	16500 +or- 300	0.94 +or- 0.10	2.47 +or- 0.11	3.41 +or- 0.15	7.53 +or- 0.02	0.26 +or- 0.02	-1.53 +or- 0.03	1.01 +or- 0.07	
NGC 4163	A	14800 +or- 2000	18200 +or- 2500	3.28 +or- 1.34	0.34 +or- 0.09	3.62 +or- 1.34	7.56 +or- 0.14	1.00 +or- 0.30	-1.49 +or- 0.06	1.17 +or- 0.47	
CGCG 269-049	A	14400 +or- 500	17100 +or- 500	1.00 +or- 0.11	1.95 +or- 0.11	2.96 +or- 0.16	7.47 +or- 0.02	0.20 +or- 0.02	-1.57 +or- 0.03	0.80 +or- 0.08	
UGC 7577	A	13100 +or- 900	13700 +or- 900	2.17 +or- 0.49	7.10 +or- 1.18	9.27 +or- 1.28	7.97 +or- 0.06	0.91 +or- 0.15	-1.37 +or- 0.04	3.96 +or- 0.67	
NGC 4449	C	11500 +or- 900	10600 +or- 800	6.92 +or- 1.99	6.69 +or- 1.59	13.62 +or- 2.54	8.13 +or- 0.07	3.16 +or- 0.55	-1.33 +or- 0.02	6.30 +or- 1.22	
NGC 4449	B	11300 +or- 600	10400 +or- 600	6.73 +or- 1.44	7.79 +or- 1.39	14.52 +or- 2.00	8.16 +or- 0.06	2.96 +or- 0.39	-1.36 +or- 0.02	6.30 +or- 0.91	
NGC 4449	A	10800 +or- 500	9600 +or- 200	6.36 +or- 1.16	14.50 +or- 1.08	20.87 +or- 1.59	8.32 +or- 0.03	2.50 +or- 0.28	-1.39 +or- 0.02	8.50 +or- 0.73	
UGC 7605	A	13400 +or- 2000	15100 +or- 2200	2.18 +or- 1.01	2.44 +or- 0.80	4.61 +or- 1.29	7.66 +or- 0.11	0.57 +or- 0.23	-1.54 +or- 0.11	1.32 +or- 0.53	
NGC 4656	A	12600 +or- 700	12700 +or- 700	1.20 +or- 0.22	11.03 +or- 1.53	12.23 +or- 1.55	8.09 +or- 0.05	0.27 +or- 0.11	-1.66 +or- 0.14	2.66 +or- 1.10	
UGC 8201	A	12900 +or- 900	13600 +or- 900	2.18 +or- 0.50	4.07 +or- 0.69	6.25 +or- 0.85	7.80 +or- 0.06	0.28 +or- 0.06	-1.77 +or- 0.07	1.06 +or- 0.30	
UGC 8508	A	13300 +or- 1100	14300 +or- 1200	1.82 +or- 0.50	3.90 +or- 0.78	5.72 +or- 0.92	7.76 +or- 0.07	0.34 +or- 0.08	-1.60 +or- 0.07	1.44 +or- 0.36	
UGC 8638	A	12600 +or- 500	12800 +or- 300	2.63 +or- 0.36	6.73 +or- 0.40	9.36 +or- 0.54	7.97 +or- 0.02	0.79 +or- 0.07	-1.51 +or- 0.02	2.88 +or- 0.20	
UGC 8638	B	13000 +or- 500	13500 +or- 500	2.38 +or- 0.33	5.82 +or- 0.60	8.20 +or- 0.69	7.91 +or- 0.03	0.61 +or- 0.07	-1.58 +or- 0.04	2.17 +or- 0.26	
UGC 8837	A	12900 +or- 900	13400 +or- 900	4.76 +or- 1.13	1.80 +or- 0.32	6.56 +or- 1.18	7.82 +or- 0.07	2.12 +or- 0.31	-1.35 +or- 0.02	2.94 +or- 0.55	
NGC 5477	A	12800 +or- 500	13000 +or- 200	1.89 +or- 0.25	7.10 +or- 0.30	8.99 +or- 0.39	7.95 +or- 0.02	0.50 +or- 0.04	-1.56 +or- 0.02	2.45 +or- 0.14	
Notes. Electron temperatures and ionic and total abundances for objects with an [O III] lambda4363 line signal-to-noise ratio of 4sigma or greater. Electron temperatures were calculated using the [O III] (lambda4959 + lambda5007)/lambda4363 diagnostic line ratio.
