,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
UGC5272A,1.06,0.02,0.014,0.002,0.084,0.002,0.375,0.007,0.197,0.004,0.194,0.004,0.015,0.003,,,0.26,0.01,0.46,0.01,0.083,0.002,0.036,0.002,,,,,1.0,0.02,1.66,0.03,4.94,0.1,,,0.101,0.001,0.013,0.001,0.02,0.001,0.004,0.001,0.01,0.001,2.83,0.06,0.035,0.001,0.029,0.002,0.079,0.002,0.055,0.002,0.08,0.01,101.0,2.0,201,943
UGC5340A,0.58,0.02,,,0.05,0.01,0.16,0.01,0.17,0.01,0.47,0.01,,,,,0.25,0.01,0.47,0.01,0.06,0.01,0.04,0.01,,,0.024,0.002,1.0,0.02,0.64,0.01,1.89,0.04,,,0.09,0.01,,,,,,,,,2.81,0.06,0.016,0.003,0.023,0.007,0.05,0.007,0.05,0.007,0.0,0.01,13.6,0.27,99.2,549
UGC5423A,2.08,0.04,,,0.12,0.01,0.33,0.01,0.24,0.01,0.28,0.01,,,0.03,0.01,0.26,0.01,0.46,0.01,0.07,0.004,0.033,0.004,,,0.019,0.002,1.0,0.02,1.16,0.02,3.49,0.01,0.012,0.004,0.1,0.01,0.08,0.004,0.021,0.004,0.02,0.004,0.035,0.004,2.86,0.06,0.12,0.004,0.027,0.003,0.31,0.006,0.22,0.006,0.24,0.01,22.8,0.46,94.8,438
UGC5423B,1.78,0.04,,,,,0.28,0.02,0.32,0.02,0.5,0.02,,,,,0.26,0.02,0.46,0.01,0.07,0.01,,,,,,,1.0,0.02,1.24,0.02,3.71,0.07,,,0.11,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.026,0.009,2.86,0.06,0.082,0.009,0.029,0.007,0.153,0.007,0.11,0.007,0.29,0.02,9.38,0.19,51.4,247
UGC5672A,3.28,0.04,,,,,0.2,0.04,0.16,0.04,0.19,0.04,,,,,0.25,0.03,0.42,0.03,0.04,0.02,,,,,,,1.0,0.02,0.85,0.02,2.51,0.05,,,0.11,0.01,0.04,0.01,,,,,0.12,0.02,2.87,0.07,0.23,0.02,,,0.31,0.01,0.22,0.01,0.4,0.02,5.8,0.12,14.6,67.4
UGC5692A,2.47,0.06,,,,,0.21,0.05,0.24,0.05,,,,,,,0.22,0.04,0.54,0.03,0.06,0.03,,,,,,,1.0,0.02,0.57,0.02,1.7,0.03,,,0.14,0.03,,,,,,,0.1,0.02,2.79,0.06,0.38,0.02,,,0.61,0.02,0.4,0.02,0.25,0.01,4.71,0.1,24.3,120
UGC5797A,1.59,0.03,,,0.27,0.04,0.52,0.04,0.36,0.03,0.32,0.03,,,,,0.28,0.02,0.47,0.02,0.09,0.02,,,,,0.036,0.006,1.0,0.02,1.85,0.04,5.53,0.11,,,0.09,0.01,0.05,0.02,0.02,0.02,0.05,0.02,0.03,0.01,2.84,0.06,0.09,0.01,,,0.22,0.01,0.15,0.01,0.15,0.01,8.4,0.17,23.8,111
UGC5923A,4.06,0.11,,,0.18,0.03,0.24,0.03,0.33,0.03,0.2,0.03,,,,,0.24,0.02,0.51,0.02,0.06,0.01,,,,,,,1.0,0.02,0.84,0.02,2.48,0.05,,,,,0.06,0.01,0.02,0.01,0.02,0.01,0.07,0.01,2.78,0.07,0.24,0.01,0.03,0.01,0.31,0.01,0.22,0.01,0.51,0.02,20.2,0.4,16.0,75.3
NGC3741A,1.6,0.03,,,,,0.24,0.01,0.21,0.01,0.49,0.01,,,,,0.25,0.01,0.46,0.01,0.06,0.01,0.026,0.003,,,,,1.0,0.02,0.94,0.02,2.84,0.06,,,0.097,0.003,0.022,0.002,0.018,0.002,0.004,0.002,0.017,0.003,2.83,0.06,0.051,0.003,0.026,0.002,0.122,0.002,0.088,0.002,0.1,0.01,45.0,0.9,59.9,330
NGC3738A,2.91,0.06,,,,,0.28,0.01,0.11,0.01,0.39,0.01,,,,,0.23,0.01,0.47,0.01,0.031,0.006,0.03,0.01,,,,,1.0,0.02,0.98,0.02,2.96,0.06,0.011,0.005,0.12,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.06,0.01,2.83,0.06,0.19,0.01,0.03,0.01,0.32,0.01,0.23,0.01,0.04,0.01,58.7,1.2,35.2,183
